,,.,가다,동대문,따뜻하다,먹다,수제비,오늘
0,4.045894e-07,6.74155e-08,8.842133e-06,2.2790312e-06,1.0804625e-05,0.9999763,4.2295682e-07,8.500092e-07
1,5.8641967e-06,4.6419e-06,0.00038409175,2.9875064e-05,0.5651607,0.43433097,8.373129e-06,7.5493255e-05
2,1.9313566e-08,1.9918844e-09,5.9432335e-07,1.8675743e-07,2.9983596e-07,0.9999988,1.8532132e-08,3.446478e-08
3,3.922468e-09,3.612897e-10,1.4449026e-07,5.3548398e-08,4.372786e-08,0.99999964,3.9269894e-09,8.105691e-09
4,2.3135263e-09,2.542835e-10,9.165777e-08,3.107271e-08,1.5495832e-08,0.9999999,2.1911424e-09,3.733819e-09
5,4.076434e-10,3.0782085e-11,1.8223972e-08,1.0880826e-08,2.3248197e-09,1.0,5.964541e-10,8.79829e-10
6,2.1409359e-09,2.5850083e-10,4.0764615e-08,4.8436053e-08,7.713292e-09,1.0,3.152045e-09,6.450083e-09
7,3.390148e-10,2.8707387e-11,8.05233e-09,2.0118803e-08,1.681453e-09,1.0,9.65174e-10,4.095194e-09
8,1.1163056e-09,1.128992e-10,2.1859007e-08,3.2036144e-08,3.66232e-09,1.0,1.7511345e-09,4.000329e-09
9,1.0538633e-09,1.090242e-10,1.8841378e-08,2.199988e-08,2.3575464e-09,1.0,1.038269e-09,2.1333297e-09
10,8.9451646e-10,8.636129e-11,1.5733406e-08,2.1507681e-08,2.1149886e-09,1.0,9.951531e-10,2.121979e-09
11,1.212751e-09,1.2670619e-10,2.0770472e-08,2.5931984e-08,3.0254004e-09,1.0,1.2040136e-09,2.757292e-09
12,2.482918e-09,3.074461e-10,3.8035303e-08,4.1512052e-08,6.8210837e-09,1.0,2.150648e-09,5.2343077e-09
13,2.7503693e-09,3.374214e-10,4.1094133e-08,4.8186614e-08,7.652304e-09,1.0,2.635944e-09,6.3792673e-09
14,2.8644074e-09,3.5076564e-10,3.7956234e-08,5.999701e-08,7.7122175e-09,0.9999999,3.2557195e-09,8.707724e-09
15,2.4095352e-09,2.692396e-10,3.3250682e-08,4.6923184e-08,5.6232983e-09,1.0,2.3917373e-09,5.7589573e-09
16,5.0266737e-09,6.6454775e-10,6.2784515e-08,8.469878e-08,1.39192275e-08,0.99999976,4.962003e-09,1.2909572e-08
17,7.555522e-09,1.2345373e-09,1.00436594e-07,1.4239241e-07,3.5778115e-08,0.99999976,9.895753e-09,3.4847538e-08
18,4.6448276e-09,6.6419037e-10,7.712544e-08,1.01008126e-07,2.5047514e-08,0.99999976,6.8511237e-09,2.110661e-08
19,5.472568e-09,8.2688845e-10,9.269805e-08,1.2262801e-07,3.4971986e-08,0.99999976,8.86057e-09,2.830438e-08
20,8.419755e-09,1.1564015e-09,1.6595206e-07,6.9449976e-07,2.1576197e-07,0.9999968,5.6176123e-08,2.0086093e-06
21,9.761524e-09,1.2698004e-09,1.1464482e-07,3.0793433e-07,6.150358e-08,0.9999993,2.2941169e-08,2.145476e-07
22,2.9503322e-09,3.878403e-10,6.14178e-08,5.1629577e-08,1.4431119e-08,0.9999999,3.0295402e-09,6.9944903e-09
23,3.608003e-09,5.007619e-10,7.685905e-08,5.7582888e-08,2.0857845e-08,0.99999976,3.6043093e-09,7.9387465e-09
24,1.549172e-08,2.3217477e-09,2.787886e-07,5.887642e-07,3.645881e-07,0.9999976,5.657024e-08,1.0666034e-06
25,3.7048464e-09,5.041016e-10,6.978583e-08,5.9434115e-08,1.6920607e-08,0.99999976,3.5627732e-09,8.0328935e-09
26,2.3640665e-09,2.3779123e-10,2.7797249e-08,2.0928267e-08,2.273041e-09,1.0,7.4736944e-10,1.1160118e-09
27,1.3289824e-09,1.1441798e-10,1.9281273e-08,1.4397607e-08,1.6174571e-09,1.0,4.983142e-10,7.6033574e-10
