,.,가다,동대문,따뜻하다,먹다,수제비,오늘
6.3191624e-10,1.516027e-09,1.5819948e-08,4.6689454e-12,6.691331e-10,1.0,1.5137832e-11,1.5928211e-09
1.5674059e-06,2.0291595e-06,2.2375283e-05,4.6438213e-08,0.0010800629,0.99875927,2.2501126e-07,0.00013451198
1.9294681e-10,7.7158485e-10,3.761554e-09,1.4531965e-12,1.6928307e-10,1.0,3.094791e-12,4.3612883e-10
1.2774234e-10,5.947229e-10,3.2315484e-09,8.3394045e-13,1.0220488e-10,1.0,1.5548443e-12,2.1551022e-10
6.149089e-10,5.681754e-09,8.363299e-09,4.651772e-12,3.851739e-10,1.0,6.248216e-12,5.546388e-10
4.1492776e-10,3.833601e-09,4.4978967e-09,2.690966e-12,2.4342614e-10,1.0,3.895161e-12,4.5474172e-10
5.586331e-09,1.010779e-07,4.3429058e-08,5.5612993e-11,4.3485984e-09,0.9999999,8.087153e-11,6.80013e-09
3.0597655e-10,1.4263611e-09,8.8303165e-10,1.1214534e-12,2.0803874e-10,1.0,3.942512e-12,2.4767834e-09
1.8076728e-09,1.6031178e-08,1.0154278e-08,1.4395306e-11,1.0794602e-09,1.0,2.3872e-11,3.8585135e-09
1.0180823e-09,1.0181158e-08,7.9619795e-09,8.476229e-12,4.7048876e-10,1.0,1.07664615e-11,1.1974133e-09
5.7506455e-10,4.0672097e-09,4.285567e-09,4.4061417e-12,2.6705826e-10,1.0,5.6193336e-12,8.402307e-10
6.6688044e-10,4.383959e-09,5.1119824e-09,5.3952853e-12,3.081453e-10,1.0,6.555072e-12,8.618099e-10
1.2399037e-09,8.789455e-09,8.5767144e-09,1.044015e-11,6.115765e-10,1.0,1.3392613e-11,1.6467808e-09
1.7419833e-09,1.2103991e-08,1.1332778e-08,1.4845973e-11,9.0458446e-10,1.0,1.9862662e-11,2.391418e-09
1.679658e-09,1.067931e-08,1.0391889e-08,1.5101927e-11,8.9683133e-10,1.0,2.0527949e-11,2.9048082e-09
1.2620698e-09,7.943914e-09,8.516368e-09,1.0874233e-11,6.399153e-10,1.0,1.399783e-11,1.8796036e-09
1.8201556e-09,1.1047769e-08,1.1463173e-08,1.6639074e-11,9.920109e-10,1.0,2.2401301e-11,3.0515317e-09
2.5337443e-09,1.6647038e-08,1.4350697e-08,2.4042532e-11,1.4710382e-09,1.0,3.4367748e-11,4.8604925e-09
