,가다,동대문,따뜻하다,먹다,수제비,오늘,,.
0,4.7723223e-08,4.3488657e-11,1.0267126e-13,0.9999995,3.5953858e-11,3.699493e-09,3.9867192e-07,1.622403e-09
1,1.0,4.2204047e-13,2.066691e-14,4.3009063e-08,3.9812793e-15,7.5856704e-10,6.852402e-14,8.4773445e-16
2,0.99998796,2.5708264e-06,2.6438463e-10,7.1561903e-06,1.7646312e-10,2.2935794e-06,5.0598817e-11,2.1257132e-12
3,6.562653e-12,1.0,6.719857e-16,1.2424253e-12,1.2574838e-11,2.5476183e-09,7.910812e-21,3.9013932e-19
4,0.0356105,2.3366747e-05,1.8454893e-08,0.96436256,3.563632e-07,3.1847446e-06,6.169388e-09,2.482437e-10
5,2.0553525e-08,0.9999943,1.07971694e-10,2.523101e-09,9.333516e-08,5.604136e-06,1.7207913e-14,2.355321e-13
6,4.674796e-10,1.0,3.5626087e-14,2.62363e-09,2.8160474e-10,1.3009908e-08,5.521634e-18,8.173597e-17
7,3.7050763e-15,1.0,4.33373e-19,3.6266283e-15,1.6342021e-13,8.219519e-12,2.742526e-25,8.817198e-23
8,1.03319326e-14,1.0,1.3526546e-18,9.754875e-15,2.1227761e-13,1.8488593e-11,1.1520507e-24,2.7155152e-22
9,1.0710455e-09,1.0,7.941105e-14,1.3148861e-08,3.4978511e-09,1.6646847e-08,1.944342e-17,2.9541568e-16
10,6.5180026e-09,0.99999976,3.583088e-13,9.216299e-08,2.3596298e-08,6.7999515e-08,3.0006087e-16,2.8050822e-15
11,0.00049468223,0.9945363,1.16962795e-08,0.00469119,0.00020038978,7.73943e-05,9.2433416e-10,8.285441e-10
12,3.7445794e-10,1.0,2.9787042e-14,5.533552e-09,6.0895897e-09,1.2607038e-08,6.0926873e-18,1.3810353e-16
13,2.3684837e-10,1.0,2.0861605e-14,1.5437503e-09,2.231582e-09,8.381104e-09,2.5927302e-18,6.922224e-17
14,5.2986586e-15,1.0,5.955658e-19,5.1307212e-15,1.7157581e-13,1.1735892e-11,4.921678e-25,1.308577e-22
15,2.2886643e-06,0.99997807,4.972672e-11,1.7289007e-05,5.054431e-07,1.9437596e-06,6.052713e-13,1.1383851e-12
16,4.7524236e-15,1.0,5.8852396e-19,5.360545e-15,1.7751519e-13,1.0638532e-11,4.6191874e-25,1.2704275e-22
17,2.2452628e-15,1.0,2.7391572e-19,2.318542e-15,1.2679785e-13,6.2408555e-12,1.4844566e-25,4.9100568e-23
18,1.2176686e-14,1.0,1.2017916e-18,1.553239e-14,2.7102444e-13,2.0071897e-11,1.5524079e-24,3.195853e-22
19,8.256462e-15,1.0,1.0609172e-18,1.1075881e-14,2.5183742e-13,1.6905647e-11,1.0439244e-24,2.4378334e-22
20,6.8054816e-15,1.0,3.4634133e-18,7.917025e-15,4.850157e-13,2.8159653e-11,1.3278398e-24,4.2782373e-22
21,6.7053415e-15,1.0,2.2131753e-18,9.377271e-15,3.8869957e-13,2.5342735e-11,1.1723733e-24,3.4838922e-22
22,7.389874e-15,1.0,3.865132e-18,7.360305e-15,5.163763e-13,3.384338e-11,1.5675706e-24,4.962369e-22
23,1.190074e-14,1.0,5.7044743e-19,1.1595253e-14,1.3461874e-13,1.33225245e-11,7.4911627e-25,1.5053587e-22
24,1.0743879e-14,1.0,4.2935466e-19,8.977874e-15,1.0390435e-13,1.218579e-11,5.989336e-25,1.130804e-22
25,8.797009e-15,1.0,3.3983542e-19,8.129357e-15,8.681566e-14,1.05748865e-11,4.6217255e-25,8.799994e-23
26,1.4322324e-14,1.0,6.7051235e-19,1.6848483e-14,1.4531873e-13,1.5552008e-11,1.107101e-24,1.9147115e-22
27,1.668319e-14,1.0,8.975904e-19,2.5320952e-14,1.8284612e-13,1.7884793e-11,1.5733697e-24,2.7491815e-22
28,2.7704484e-14,1.0,1.6687961e-18,3.5528844e-14,3.0454727e-13,2.6862238e-11,3.4817895e-24,5.4987745e-22
29,2.6196627e-14,1.0,1.5066198e-18,2.8332874e-14,3.0346296e-13,2.5145707e-11,2.9875312e-24,4.831281e-22
30,2.1766909e-14,1.0,1.5372615e-18,2.0048028e-14,3.4824864e-13,2.4348544e-11,2.6705178e-24,4.7192027e-22
31,1.870162e-17,1.0,2.2028226e-19,2.5961942e-18,3.6288895e-12,8.0230327e-13,4.4980676e-28,1.4594931e-24
32,3.6349025e-12,1.0,6.1421688e-15,2.1765604e-12,9.382551e-11,3.6458438e-09,2.0329448e-20,2.4906474e-18
33,3.6576737e-09,0.9999989,1.531097e-11,1.2356152e-09,1.0210609e-08,1.1154866e-06,4.2169173e-16,1.1445778e-14
34,1.3040412e-16,1.0,4.751544e-19,1.4557227e-17,1.3388264e-12,4.8747738e-12,8.960302e-27,7.708086e-24
35,8.485692e-16,1.0,6.3655283e-18,1.038194e-16,1.486028e-11,1.894806e-11,1.709401e-25,1.4106031e-22
36,8.894693e-16,1.0,6.2649274e-18,1.1212116e-16,1.30418384e-11,2.1062747e-11,1.884204e-25,1.4143801e-22
37,1.3473356e-17,1.0,4.3814684e-20,1.4061682e-18,3.0184717e-13,6.764735e-13,2.1691075e-28,3.3547698e-25
38,1.5676657e-17,1.0,5.5954174e-20,1.6687134e-18,3.698923e-13,7.5979674e-13,2.7859756e-28,4.148676e-25
39,1.1318426e-17,1.0,3.351491e-20,1.1859205e-18,2.3798915e-13,5.6919714e-13,1.5881158e-28,2.4288537e-25
40,2.0071413e-17,1.0,7.0322954e-20,2.12628e-18,4.5246389e-13,9.646074e-13,4.262537e-28,5.986801e-25
