,가다,동대문,따뜻하다,먹다,수제비,오늘,,.,너,마시다,물음표,읽다,책,커피
0,6.50619e-09,0.9999826,5.774067e-17,1.4095837e-14,2.0547417e-18,1.21036e-11,4.549805e-16,1.7690192e-14,1.3488181e-05,1.6159309e-12,6.9556495e-07,1.7420592e-13,5.4491027e-16,3.161068e-06
1,2.731187e-09,0.99998784,1.5670607e-17,1.2912063e-14,1.1603718e-18,3.5414718e-12,1.385303e-16,5.0131077e-15,1.0975329e-05,7.284999e-13,2.540452e-07,1.1432523e-13,1.8674028e-16,9.708689e-07
2,2.0599265e-09,0.9999881,9.121777e-18,1.2161129e-14,6.7781826e-19,1.6872259e-12,7.479881e-17,2.5137202e-15,1.1616376e-05,4.9399227e-13,9.342221e-08,9.590113e-14,9.384057e-17,2.8714496e-07
3,3.8162136e-09,0.9999918,1.2214017e-17,1.3282205e-14,6.827566e-19,2.1806396e-12,8.778189e-17,2.244234e-15,7.58059e-06,5.7930836e-13,8.569143e-08,3.9206018e-14,6.0292665e-17,4.1893009e-07
4,1.6791304e-09,0.9999968,9.307306e-18,6.412066e-15,3.8942435e-19,2.0470826e-12,6.2307095e-17,1.6375712e-15,2.8234822e-06,2.310485e-13,6.178065e-08,2.6606846e-14,5.1383778e-17,2.612623e-07
5,3.3341725e-09,0.99999213,2.0296694e-17,7.615091e-15,7.6224295e-19,1.2182131e-12,6.4180256e-17,1.532094e-15,7.3948263e-06,3.3420288e-13,1.6966716e-07,6.8794817e-14,9.584816e-17,3.8372545e-07
6,1.3859243e-09,0.99999774,1.906498e-17,3.9083485e-15,2.174274e-19,2.7399063e-13,3.366249e-17,5.363742e-16,2.0437124e-06,1.050309e-13,9.40338e-08,1.8972688e-14,4.108727e-17,7.5411855e-08
7,1.6523129e-10,0.99999917,9.461257e-18,1.1844023e-15,7.771959e-20,1.7229122e-13,8.116541e-18,2.061687e-16,8.258592e-07,4.320359e-14,4.8365393e-08,8.977628e-15,1.4969147e-17,5.8652645e-08
8,9.334459e-11,0.9999995,6.5485006e-18,7.1940763e-16,9.486079e-20,6.477692e-14,3.1999813e-18,1.5171346e-16,5.05943e-07,1.9084398e-14,3.695454e-08,1.0792551e-14,1.5023843e-17,2.6966529e-08
9,1.16708865e-11,0.99999976,2.4828209e-18,9.877119e-17,3.4233332e-20,4.2792165e-14,1.0172e-18,4.273957e-17,1.9548601e-07,1.33913885e-14,2.5670273e-08,6.4474047e-15,6.276504e-18,2.7931758e-08
10,3.1553603e-12,0.9999999,1.5026649e-18,9.385564e-17,2.3085895e-20,3.057816e-14,4.599367e-19,1.308086e-17,8.46392e-08,5.2506298e-15,1.2669615e-08,3.0534841e-15,3.859209e-18,1.3096748e-08
11,1.7337071e-12,0.9999999,9.457434e-19,3.399615e-17,1.551576e-20,1.780247e-14,1.5718258e-19,1.0180896e-17,9.1873574e-08,3.4406764e-15,9.426668e-09,3.0450974e-15,2.4537738e-18,9.304928e-09
12,6.978526e-13,1.0,5.8914616e-19,2.4473344e-17,1.0643618e-20,1.1948731e-14,1.0939635e-19,4.901068e-18,5.0530065e-08,2.6749345e-15,6.329877e-09,1.5622945e-15,1.6235231e-18,6.4326615e-09
13,3.088185e-13,1.0,2.5344372e-19,1.3706795e-17,5.7391297e-21,1.150752e-14,6.894437e-20,2.2780782e-18,2.8842335e-08,1.0557151e-15,4.066147e-09,8.996727e-16,1.3294758e-18,4.639507e-09
14,2.141679e-13,1.0,3.2587538e-19,1.1153284e-17,4.103136e-21,1.1888308e-14,6.163841e-20,1.6262752e-18,2.6814211e-08,1.1225345e-15,3.279578e-09,7.1574543e-16,9.153253e-19,2.5876783e-09
15,1.3975193e-13,1.0,2.7057789e-19,6.750708e-18,3.986571e-21,1.1536001e-14,5.955246e-20,1.0408895e-18,1.0116099e-08,8.354548e-16,1.8513595e-09,3.7317127e-16,1.183137e-18,1.8821613e-09
16,1.2857765e-13,1.0,3.7446265e-19,6.287673e-18,3.3873107e-21,1.653367e-14,5.575007e-20,9.887478e-19,1.45450825e-08,8.979719e-16,1.3347031e-09,4.6757267e-16,1.6782956e-18,1.3240183e-09
17,3.18252e-14,1.0,1.9905018e-19,3.087765e-18,2.554361e-21,1.2424667e-14,3.06191e-20,6.3641653e-19,7.41831e-09,5.1037605e-16,1.5698415e-09,2.1583084e-16,1.2638562e-18,1.0063095e-09
18,1.0348736e-14,1.0,1.3112172e-19,1.5279948e-18,3.0223136e-21,1.4329483e-14,9.582093e-21,3.2444645e-19,2.6004334e-09,3.2634488e-16,1.1088424e-09,2.2293277e-16,6.653883e-19,1.0689922e-09
19,2.2277477e-15,1.0,7.3809804e-20,3.0644237e-19,1.4052652e-21,2.012657e-14,3.7350072e-21,2.0401786e-19,1.0155183e-09,2.0125014e-16,7.553258e-10,1.2126703e-16,5.035756e-19,8.471212e-10
