	가다	동대문	따뜻하다	먹다	수제비	오늘		.	너	마시다	물음표	읽다	책	커피
0	7.54E-12	3.66E-14	1.22E-09	2.54E-15	5.10E-08	5.92E-09	4.90E-14	5.41E-10	1.19E-11	2.85E-07	7.75E-07	4.62E-17	0.9999989	7.35E-20
1	6.81E-14	3.37E-16	3.53E-11	1.93E-17	7.19E-09	9.79E-12	1.72E-16	7.08E-12	1.13E-13	1.18E-08	3.82E-08	4.65E-18	1	2.68E-22
2	5.02E-14	2.13E-16	1.64E-11	1.01E-17	2.26E-09	3.87E-12	1.12E-16	3.08E-12	8.33E-14	8.12E-09	1.87E-08	3.84E-18	1	1.19E-22
3	3.91E-14	1.42E-16	5.05E-12	7.41E-18	1.10E-09	1.70E-12	7.02E-17	2.14E-12	6.20E-14	5.06E-09	9.66E-09	4.48E-18	1	5.29E-23
4	2.29E-14	8.51E-17	1.77E-12	4.10E-18	3.79E-10	6.57E-13	3.96E-17	1.04E-12	4.04E-14	2.97E-09	4.63E-09	4.61E-18	1	2.10E-23
5	1.44E-14	5.06E-17	6.63E-13	2.76E-18	1.68E-10	2.76E-13	2.33E-17	6.18E-13	2.55E-14	1.50E-09	2.61E-09	4.60E-18	1	6.44E-24
6	8.80E-15	3.68E-17	2.19E-13	1.43E-18	8.12E-11	1.45E-13	1.43E-17	5.09E-13	1.82E-14	8.20E-10	1.63E-09	4.11E-18	1	2.68E-24
7	7.44E-15	4.62E-17	1.00E-13	1.30E-18	5.11E-11	1.39E-13	1.04E-17	4.94E-13	1.75E-14	6.49E-10	1.34E-09	4.10E-18	1	2.10E-24
8	6.97E-15	5.60E-17	5.66E-14	1.36E-18	3.63E-11	1.31E-13	6.71E-18	4.37E-13	1.67E-14	5.45E-10	1.00E-09	4.64E-18	1	2.00E-24
9	6.91E-15	8.18E-17	3.87E-14	1.70E-18	2.95E-11	1.18E-13	4.73E-18	4.99E-13	1.80E-14	4.42E-10	8.92E-10	7.06E-18	1	2.23E-24
10	7.11E-15	1.43E-16	2.90E-14	2.07E-18	2.31E-11	1.43E-13	4.38E-18	6.90E-13	2.20E-14	3.98E-10	1.04E-09	1.66E-17	1	3.26E-24
11	6.33E-15	2.89E-16	2.41E-14	3.04E-18	2.22E-11	2.18E-13	4.40E-18	9.07E-13	3.59E-14	4.63E-10	1.70E-09	5.32E-17	1	6.62E-24
12	6.49E-15	6.32E-16	2.14E-14	4.43E-18	2.61E-11	3.04E-13	4.66E-18	1.33E-12	5.90E-14	5.14E-10	2.82E-09	1.86E-16	1	1.29E-23
13	6.77E-15	1.30E-15	2.26E-14	6.41E-18	3.14E-11	3.68E-13	4.65E-18	2.14E-12	1.02E-13	5.61E-10	4.24E-09	6.10E-16	1	3.45E-23
14	7.93E-15	3.14E-15	2.43E-14	8.74E-18	4.63E-11	3.43E-13	4.71E-18	3.77E-12	1.93E-13	6.11E-10	5.85E-09	2.98E-15	1	9.33E-23
15	1.33E-14	9.44E-15	3.81E-14	1.40E-17	6.92E-11	3.19E-13	6.89E-18	6.68E-12	4.93E-13	6.15E-10	1.32E-08	1.67E-14	1	2.37E-22
16	1.66E-14	2.35E-14	3.20E-14	1.92E-17	1.10E-10	2.63E-13	8.27E-18	8.79E-12	1.09E-12	6.74E-10	3.30E-08	1.07E-13	1	5.67E-22
17	2.20E-14	4.88E-14	3.77E-14	2.66E-17	1.85E-10	2.86E-13	9.34E-18	1.36E-11	2.19E-12	6.64E-10	5.92E-08	5.47E-13	0.9999999	8.98E-22
18	4.21E-14	1.48E-13	3.82E-14	4.11E-17	3.16E-10	3.30E-13	1.34E-17	3.00E-11	4.15E-12	6.78E-10	1.02E-07	3.55E-12	0.9999999	1.56E-21
19	7.76E-14	6.51E-13	9.12E-14	9.12E-17	1.02E-09	5.53E-13	2.65E-17	7.66E-11	1.69E-11	1.08E-09	3.02E-07	2.38E-11	0.99999964	5.08E-21
20	1.54E-13	2.57E-12	1.50E-13	1.34E-16	3.61E-09	1.49E-12	3.94E-17	1.30E-10	3.71E-11	1.30E-09	8.33E-07	1.93E-10	0.99999917	1.68E-20
21	2.82E-13	1.21E-11	3.24E-13	2.15E-16	1.13E-08	5.24E-12	4.78E-17	3.34E-10	1.25E-10	1.64E-09	2.98E-06	9.71E-10	0.999997	8.16E-20
22	2.93E-13	4.15E-11	4.90E-13	3.63E-16	3.19E-08	1.11E-11	7.02E-17	7.71E-10	2.87E-10	1.79E-09	5.65E-06	4.40E-09	0.9999943	1.77E-19
