,가다,동대문,따뜻하다,먹다,수제비,오늘,,.,너,마시다,물음표,읽다,책,커피
0,6.3241964e-12,6.5363764e-14,1.653839e-08,2.1949465e-15,1.2840431e-07,4.1010747e-08,3.9685548e-13,1.8753101e-09,2.607454e-11,1.9692443e-07,1.3520183e-06,2.2460619e-17,0.9999982,4.2252652e-19
1,2.3900904e-13,2.073228e-15,2.7185168e-10,4.4624746e-17,3.990346e-09,9.235078e-11,1.7585124e-15,1.8026301e-11,5.34444e-13,3.0494093e-08,1.13098935e-07,5.8258033e-18,0.9999999,2.4559427e-21
2,1.3934044e-13,1.0037837e-15,9.0220095e-11,2.0700966e-17,2.461792e-09,2.384024e-11,6.371146e-16,9.58126e-12,2.5510412e-13,1.19156764e-08,4.2987576e-08,4.3247153e-18,1.0,3.8342555e-22
3,1.0252493e-13,6.839807e-16,4.0572726e-11,1.3067196e-17,1.1039213e-09,1.0859682e-11,3.6439469e-16,8.2598295e-12,1.8424715e-13,7.490452e-09,2.019354e-08,4.402029e-18,1.0,1.8482636e-22
4,6.553077e-14,4.2223465e-16,1.18628215e-11,8.6296105e-18,4.5675844e-10,4.1439426e-12,2.3412314e-16,5.8227117e-12,9.959732e-14,4.0972723e-09,8.4745775e-09,5.139803e-18,1.0,7.622852e-23
5,3.3632453e-14,2.0469639e-16,2.7539082e-12,4.2571144e-18,1.7851676e-10,1.3492215e-12,1.10826744e-16,3.4088572e-12,5.746226e-14,2.1948443e-09,4.770839e-09,6.2390987e-18,1.0,3.074675e-23
6,2.8719116e-14,1.5647928e-16,1.4189539e-12,3.817669e-18,1.2202518e-10,9.61184e-13,8.478989e-17,2.8513051e-12,4.9158513e-14,1.8078521e-09,3.4505978e-09,4.9395074e-18,1.0,1.973381e-23
7,2.0861566e-14,1.0571774e-16,5.325494e-13,2.800524e-18,6.912746e-11,5.8828555e-13,5.766419e-17,2.5398275e-12,3.3418113e-14,1.0895275e-09,2.1106885e-09,5.0769393e-18,1.0,1.1431601e-23
8,1.4879997e-14,7.565631e-17,2.730798e-13,2.2027059e-18,5.449825e-11,3.9313293e-13,3.4447444e-17,2.083427e-12,2.3769418e-14,7.4133416e-10,1.5727546e-09,4.787754e-18,1.0,6.148517e-24
9,1.0368415e-14,6.2219176e-17,1.5206052e-13,1.6953281e-18,4.7210475e-11,2.8414226e-13,2.1559867e-17,1.873698e-12,1.9002681e-14,5.31795e-10,1.2285148e-09,5.0534436e-18,1.0,3.6174372e-24
10,7.649507e-15,5.0703998e-17,7.9818015e-14,1.2629838e-18,3.6122903e-11,2.211046e-13,1.2675166e-17,1.6850495e-12,1.4589104e-14,3.9126263e-10,8.557379e-10,4.5083114e-18,1.0,1.991431e-24
11,6.128898e-15,4.8662887e-17,5.2265724e-14,1.1777245e-18,3.13925e-11,2.2502428e-13,8.627208e-18,1.5298629e-12,1.4433225e-14,2.939866e-10,6.483086e-10,5.185315e-18,1.0,1.3845323e-24
12,6.634507e-15,5.9383316e-17,4.9529232e-14,1.4119033e-18,2.8463346e-11,3.892612e-13,9.8884645e-18,1.9683359e-12,1.956286e-14,2.9187633e-10,6.2140293e-10,7.833378e-18,1.0,1.3998003e-24
13,9.848538e-15,1.0628384e-16,6.651793e-14,2.104404e-18,4.098886e-11,9.924541e-13,1.5296636e-17,3.7408136e-12,4.3372888e-14,3.9205225e-10,8.5098356e-10,1.6185645e-17,1.0,2.1747379e-24
