,가다,동대문,따뜻하다,먹다,수제비,오늘,,.,너,마시다,물음표,읽다,책,커피
0,2.434806e-12,2.4691652e-05,2.802952e-16,2.1187674e-16,1.2087217e-15,2.9562182e-09,1.0691037e-17,1.9357648e-16,2.1764839e-09,3.8592365e-11,0.00013208846,2.3358677e-17,3.9056417e-16,0.99984324
1,3.2364106e-14,7.3398232e-06,3.861108e-17,1.5183782e-17,1.7742238e-16,1.427734e-10,7.17619e-20,1.6273725e-18,3.3864614e-10,8.839974e-12,6.969637e-05,1.0278172e-17,2.0503686e-17,0.999923
2,3.4498207e-16,1.5316322e-06,2.2671195e-18,5.301194e-19,7.192287e-18,1.4529971e-11,1.6213786e-21,1.3428433e-20,4.1753136e-11,7.982138e-13,1.4110346e-05,2.7752966e-18,4.0287532e-19,0.9999844
3,1.10965115e-16,4.7633256e-07,3.1148086e-19,1.4545395e-19,1.8273902e-18,8.984024e-12,3.8226175e-22,4.7192064e-21,7.2173795e-12,3.0983872e-13,6.820752e-06,6.9622613e-19,1.2781199e-19,0.9999927
4,2.2735084e-17,1.1837891e-07,1.0506887e-19,4.4237144e-20,4.1239234e-19,3.2018361e-12,7.6080504e-23,1.1125873e-21,1.3069397e-12,1.6249025e-13,5.6902327e-06,1.222317e-19,1.6543333e-20,0.99999416
5,2.60253e-18,4.058989e-08,1.869353e-20,1.4450918e-20,1.8642126e-19,1.0829724e-12,1.2730416e-23,7.4165905e-22,3.6142432e-13,7.6521085e-14,3.8342314e-06,6.412339e-20,4.1148443e-21,0.99999607
6,9.6695604e-20,1.1528026e-08,4.907679e-22,6.509063e-22,3.116812e-21,8.590523e-14,9.644854e-25,2.4077485e-23,3.7466493e-14,8.7229875e-15,3.846373e-07,5.2015896e-21,8.8185404e-23,0.99999964
7,3.1983793e-21,1.9590503e-09,5.2284604e-24,1.4596942e-23,1.645642e-23,3.932945e-15,4.0711792e-26,4.1184954e-25,3.308223e-15,3.2830523e-16,1.8465995e-08,3.139592e-22,5.7508645e-25,1.0
8,1.715244e-21,9.709514e-10,4.3329424e-24,6.988024e-24,1.1398768e-23,2.6817285e-15,2.1521723e-26,2.4601668e-25,1.8236528e-15,2.1639308e-16,1.4435856e-08,2.1409013e-22,3.5235421e-25,1.0
9,1.3636309e-21,7.112594e-10,3.331675e-24,5.254233e-24,7.933617e-24,2.0264152e-15,1.7406364e-26,1.8805491e-25,1.2828994e-15,1.6511563e-16,1.1061896e-08,1.6923911e-22,2.5127789e-25,1.0
10,1.1199136e-21,6.3593897e-10,2.771967e-24,4.727919e-24,6.49507e-24,1.6169862e-15,1.346759e-26,1.5256772e-25,9.844251e-16,1.3570233e-16,8.923255e-09,1.37323e-22,2.2155664e-25,1.0
11,9.58176e-22,5.833066e-10,2.7075067e-24,4.6157723e-24,5.6589884e-24,1.5269541e-15,1.1532411e-26,1.3076219e-25,9.097813e-16,1.1745895e-16,7.910498e-09,1.1607687e-22,2.1047657e-25,1.0
12,9.672099e-22,5.7949967e-10,2.490393e-24,4.70123e-24,5.3227222e-24,1.6995136e-15,1.13709115e-26,1.3905233e-25,9.489107e-16,1.201197e-16,9.428108e-09,1.1603702e-22,2.0592979e-25,1.0
