,가다,동대문,따뜻하다,먹다,수제비,오늘,,.,너,마시다,물음표,읽다,책,커피
0,2.8207952e-09,1.3120008e-05,4.2320988e-10,1.3208507e-12,3.164061e-13,4.6989794e-09,1.2938006e-10,1.698862e-11,0.9999789,8.174935e-10,1.4242509e-06,6.530021e-06,2.3507525e-09,1.5187647e-09
1,1.8436775e-09,1.41271e-05,3.174621e-10,8.241163e-13,1.2532899e-13,3.2723924e-09,8.634218e-11,5.7520768e-12,0.9999752,4.414087e-10,9.4132935e-07,9.706886e-06,2.1380548e-09,1.1848632e-09
2,1.6914916e-09,2.8310278e-05,1.786618e-10,2.3737132e-12,1.0808544e-13,6.6654864e-09,6.173444e-11,9.646702e-12,0.9999653,2.6231473e-10,1.932718e-06,4.3594328e-06,1.4168028e-09,1.4729328e-09
3,8.928298e-10,2.0866459e-05,1.044622e-10,3.0480805e-12,1.368659e-13,2.5023084e-09,2.6984226e-11,7.160152e-12,0.99997234,2.851349e-10,2.1587146e-06,4.670505e-06,2.4150955e-09,9.410488e-10
4,9.0322094e-10,1.1901184e-05,3.3021596e-11,4.9565022e-12,2.391061e-14,2.8981235e-09,1.4936212e-11,2.924021e-12,0.999985,1.7779912e-10,8.148945e-07,2.2100635e-06,7.159867e-10,4.751458e-10
5,1.2133479e-09,1.26682335e-05,5.4541812e-11,9.134169e-12,6.231594e-14,4.577476e-09,1.8559465e-11,6.558823e-12,0.9999846,4.1896922e-10,1.8445436e-06,9.2012425e-07,5.076804e-10,1.4013604e-09
6,1.5277654e-09,8.07117e-06,6.303231e-11,1.6578247e-11,4.211114e-14,5.558579e-09,1.9714287e-11,3.9425936e-12,0.9999902,2.70399e-10,1.4562625e-06,2.8401033e-07,3.6965297e-10,1.3855597e-09
7,3.258362e-09,3.4766555e-05,3.6765053e-11,3.228479e-11,7.105966e-14,8.499578e-09,2.4577845e-11,7.288486e-12,0.99996245,6.534186e-10,2.4859726e-06,2.3002245e-07,3.9614462e-10,3.96299e-09
8,7.2650925e-09,0.00011341462,2.5532002e-11,4.3003587e-11,2.5891378e-14,1.7735523e-08,2.8313253e-11,4.6655444e-12,0.99988365,9.686485e-10,2.611554e-06,2.1972612e-07,2.7851563e-10,9.676204e-09
9,1.3453854e-08,0.0001404975,1.186871e-11,5.797538e-11,2.7518273e-14,1.8984414e-08,8.671488e-11,4.670996e-12,0.9998554,1.8045041e-09,3.8153426e-06,1.942286e-07,3.5144287e-10,2.5853963e-08
10,2.2020545e-08,0.00018803605,4.207246e-11,8.360695e-11,4.228212e-14,2.9662418e-08,1.05751796e-10,4.708162e-12,0.9998098,2.0780497e-09,1.7602449e-06,3.3643852e-07,2.3141973e-10,1.9123318e-08
11,9.058406e-08,0.0007518486,5.2247064e-11,1.6298529e-10,1.6075654e-13,5.1364186e-08,2.496698e-10,1.5289913e-11,0.9992411,2.6896358e-09,6.393389e-06,4.4179217e-07,3.7381356e-10,3.0305305e-08
12,5.36334e-08,0.00018211895,6.274952e-11,1.6400514e-10,4.5548855e-14,2.5951499e-08,2.256411e-10,9.052349e-12,0.99981576,1.5970386e-09,1.6521661e-06,3.1534245e-07,2.438171e-10,1.7089802e-08
13,8.53592e-08,0.00076325017,1.2680264e-10,7.1360855e-11,8.944498e-14,2.9990822e-08,1.5426223e-10,2.2179624e-11,0.9992354,2.8235623e-09,1.0165635e-06,2.866679e-07,3.997062e-10,1.5304613e-08
14,1.0439314e-07,0.00085040525,1.9034752e-10,1.3920146e-10,1.3445453e-13,1.3050874e-07,6.7538775e-10,4.429468e-11,0.9991478,3.6413406e-09,1.2729859e-06,2.3725951e-07,3.3870518e-10,2.585499e-08
15,9.833952e-08,0.00067921216,9.326332e-11,8.731133e-11,2.3429324e-13,1.1846589e-07,3.3113945e-10,8.6589416e-11,0.99931943,3.7084888e-09,9.669969e-07,2.0276667e-07,5.948431e-10,1.12707195e-08
16,3.92393e-07,0.0037654485,2.668104e-10,3.6696474e-10,1.2083924e-12,7.151131e-07,1.9287818e-09,1.2928177e-09,0.9962309,7.776623e-09,1.7864917e-06,7.19216e-07,2.8792475e-09,2.2076684e-08
17,7.78381e-07,0.024907263,2.9945635e-10,1.9763404e-09,2.8637257e-12,2.0208452e-06,1.8072899e-09,2.4264144e-09,0.97508323,1.096995e-08,6.3004477e-06,4.6371798e-07,8.821297e-09,2.0997396e-08
18,7.832942e-07,0.02370955,3.2983732e-10,2.2260869e-09,2.3477713e-12,5.3827453e-06,1.3830157e-09,5.640081e-09,0.9762788,1.1169629e-08,5.1596103e-06,3.3122984e-07,6.6294343e-09,7.0831163e-09
19,1.0399197e-06,0.016819434,1.9718195e-10,2.0181306e-09,2.3262514e-12,9.353495e-06,2.0013067e-09,7.891579e-09,0.983167,1.0814731e-08,2.9695636e-06,2.3612435e-07,7.911758e-09,1.4169947e-08
20,9.858254e-07,0.008001439,8.36999e-11,2.5069582e-09,1.7978251e-12,2.2289634e-05,3.2546137e-09,8.988266e-09,0.9919735,7.041218e-09,1.6612634e-06,1.2399342e-07,1.5016752e-08,6.2655996e-09
21,8.395643e-07,0.01247744,1.3105092e-11,1.9832538e-09,1.0338442e-12,2.6809405e-05,2.306436e-09,1.7862073e-08,0.9874936,9.9869535e-09,1.2982337e-06,2.5360503e-08,6.2050396e-09,4.0851433e-09
22,2.9023352e-06,0.024000062,1.3163186e-11,6.3012635e-09,1.4452899e-12,6.126693e-05,1.963685e-08,2.5420407e-08,0.97593486,6.9797474e-09,8.6175885e-07,3.4399041e-09,9.391829e-09,1.1049026e-08
23,1.4444478e-05,0.12781456,3.6576374e-11,1.3593753e-08,1.8075243e-12,9.479016e-05,2.7984171e-08,1.4904208e-08,0.87207365,9.0303125e-09,2.4882706e-06,1.4166377e-09,1.971935e-08,3.1571716e-08
24,4.1655487e-05,0.36802515,6.4478756e-11,6.0600826e-08,4.175481e-12,0.002524736,1.3047428e-07,6.407282e-08,0.62940276,8.119501e-08,5.320123e-06,6.335322e-10,1.31902596e-08,1.0409392e-07
25,8.467364e-05,0.68013704,1.3600421e-10,1.4736301e-07,4.6047515e-12,0.0018908835,1.0066742e-07,3.793716e-08,0.3178822,5.0452677e-08,4.647019e-06,1.5804141e-10,4.526931e-09,2.227954e-07
26,2.8504282e-05,0.9363601,5.8806675e-11,3.4638763e-08,1.0441047e-12,0.0012006126,2.4693806e-08,1.8539097e-08,0.06240936,5.1225296e-08,1.1041637e-06,2.3885133e-11,2.4857818e-09,1.9120432e-07
27,1.2101122e-05,0.9892208,3.2353745e-11,2.4924942e-08,1.1818412e-12,0.00046519013,9.196961e-09,4.615059e-09,0.010300688,2.766517e-08,9.034942e-07,1.1757443e-11,1.2194565e-09,2.0470198e-07
28,4.0949067e-07,0.99792635,1.3446022e-11,5.5474665e-09,5.3133555e-13,0.00026694738,2.8295772e-09,1.312955e-09,0.0018053461,1.7797355e-08,8.8212767e-07,2.244671e-11,1.5824819e-09,1.0859366e-07
