,가다,동대문,따뜻하다,먹다,수제비,오늘,,.,너,마시다,물음표,읽다,책,커피
0,3.2629315e-35,2.1582792e-35,4.6282e-41,3.658247e-33,7.3466e-41,2.3071922e-33,1.0,1.9075813e-37,3.4e-44,2.319059e-34,6.763411e-27,1.6782e-41,3.6811743e-27,2.791396e-39
1,3.9639337e-05,7.348487e-08,2.7158806e-11,8.262516e-05,2.2699372e-07,1.5442605e-07,1.0285556e-15,1.9144705e-13,0.9998772,1.6840105e-12,2.1108614e-08,1.05676454e-10,3.2225609e-12,5.052848e-12
2,7.5036893e-10,1.12588244e-10,1.458381e-15,2.1074412e-10,2.5895617e-11,2.6749794e-12,6.9333593e-22,1.7289822e-19,1.0,7.7079915e-18,2.4494434e-11,1.084332e-13,1.0793322e-17,1.5550338e-16
3,1.3717848e-06,0.99993455,7.793611e-11,1.131011e-06,3.7542125e-09,9.810793e-07,1.5046542e-11,1.607462e-11,4.2026763e-08,6.830376e-07,3.290149e-05,1.6802474e-08,5.7513905e-09,2.8421047e-05
4,1.4840614e-07,5.9200094e-05,4.694539e-10,4.4350235e-09,7.713056e-06,0.9999325,2.2220502e-12,1.1383675e-09,4.9223414e-10,9.701611e-12,3.864808e-09,2.8983584e-09,3.245856e-07,1.6268688e-08
5,4.517623e-05,0.99976975,2.3081197e-09,0.00014062901,6.295865e-09,2.6433416e-05,7.213149e-10,2.8245144e-11,2.1606024e-06,1.4612656e-05,7.659507e-07,2.0700835e-08,3.1850256e-09,4.35995e-07
6,1.1092354e-08,0.99999917,6.127271e-14,8.646704e-07,8.3012145e-13,2.6918366e-08,3.7797062e-15,5.988533e-17,7.255528e-10,4.5428752e-08,4.3750594e-09,9.679745e-12,7.325964e-13,4.842257e-10
7,4.8151216e-09,0.9999999,1.3557981e-14,1.5997828e-07,3.9383988e-13,1.1382319e-08,1.507168e-15,4.312098e-17,2.1740645e-10,1.2797998e-08,6.746825e-09,5.7965815e-12,4.028582e-13,5.423147e-10
8,2.8131708e-09,0.9999999,1.5117465e-14,1.1198445e-07,3.5902233e-13,1.1694235e-08,1.7377798e-15,4.6200687e-17,2.0336374e-10,1.3394369e-08,7.713188e-09,8.693571e-12,3.8757422e-13,5.38e-10
9,5.837407e-10,1.0,3.0283816e-15,1.29570115e-08,6.7790954e-14,3.821322e-09,4.820765e-16,1.6657187e-17,5.4680982e-11,5.107041e-09,9.610908e-09,6.049675e-12,1.2352581e-13,3.9340506e-10
10,5.726478e-10,1.0,2.9052978e-15,1.5833262e-08,7.113719e-14,4.074361e-09,3.590136e-16,1.3033642e-17,5.6607094e-11,5.1797437e-09,6.623502e-09,5.0623824e-12,1.0075827e-13,3.313997e-10
11,8.044206e-10,1.0,4.8961795e-15,1.3980481e-08,1.7267035e-13,5.2397113e-09,5.968221e-16,4.3719582e-17,7.829134e-11,6.092634e-09,1.8676683e-08,1.03452e-11,2.5181295e-13,1.2897288e-09
12,7.326512e-10,1.0,4.437831e-15,1.3920957e-08,1.1460039e-13,4.5374646e-09,6.083543e-16,3.19541e-17,7.856959e-11,6.1907275e-09,1.7757523e-08,1.0050118e-11,2.0042686e-13,8.459248e-10
13,1.09937e-09,1.0,6.834672e-15,1.7896525e-08,1.558867e-13,5.484534e-09,1.3082521e-15,5.435472e-17,1.00063215e-10,7.2017112e-09,2.3316906e-08,1.3478358e-11,3.2709566e-13,8.4875307e-10
14,7.467054e-10,1.0,4.0117856e-15,1.3515062e-08,9.54335e-14,4.206237e-09,6.885331e-16,2.7746746e-17,6.880846e-11,5.737939e-09,1.6276303e-08,8.969895e-12,1.9334144e-13,6.2019045e-10
15,5.5617805e-10,1.0,3.0833556e-15,1.0670026e-08,7.965939e-14,3.5951306e-09,4.224183e-16,2.1279526e-17,5.908997e-11,4.8769384e-09,1.4477023e-08,7.786301e-12,1.4117104e-13,6.350759e-10
