Num,Filename,Kor
2,NIA_SL_SEN1912_REAL01_F.mp4,유턴 맞다
3,NIA_SL_SEN1183_REAL01_F.mp4,공항 버스 보다 전 곳 차내리다
4,NIA_SL_SEN0814_REAL01_F.mp4,버스 곳 내리다 맞다
5,NIA_SL_SEN1792_REAL01_F.mp4,아이 실종 잃어버리다
7,NIA_SL_SEN0783_REAL01_F.mp4,여기 내리다 맞다
8,NIA_SL_SEN1808_REAL01_F.mp4,우산 실종 잃어버리다
9,NIA_SL_SEN1926_REAL01_F.mp4,차밀리다 시간 괜찮다
10,NIA_SL_SEN1362_REAL01_F.mp4,서울대학교 길 찾다 방법
12,NIA_SL_SEN1580_REAL01_F.mp4,언덕 저기 곳 다음 도착 차내리다
13,NIA_SL_SEN0875_REAL01_F.mp4,서울농아인협회 내리다
14,NIA_SL_SEN1093_REAL01_F.mp4,카드 고장 잘 안되다
15,NIA_SL_SEN1896_REAL01_F.mp4,핸드폰 없다 실종
17,NIA_SL_SEN1641_REAL01_F.mp4,군청 곳 다음 내리다
18,NIA_SL_SEN1672_REAL01_F.mp4,버스 곳 다음 내리다
19,NIA_SL_SEN0164_REAL01_F.mp4,핸드폰 번호 필요
20,NIA_SL_SEN1411_REAL01_F.mp4,영등포 곳 찾다 곳 방법
22,NIA_SL_SEN1883_REAL01_F.mp4,아이 잃어버리다 실종
23,NIA_SL_SEN0454_REAL01_F.mp4,화장실 무엇
24,NIA_SL_SEN0472_REAL01_F.mp4,지갑 실종
25,NIA_SL_SEN0668_REAL01_F.mp4,지름길 가다 내리다
27,NIA_SL_SEN1538_REAL01_F.mp4,사거리 다음 도착 차내리다
28,NIA_SL_SEN0073_REAL01_F.mp4,9호
29,NIA_SL_SEN1932_REAL01_F.mp4,돈
30,NIA_SL_SEN0679_REAL01_F.mp4,나사렛 가다 내리다
32,NIA_SL_SEN0550_REAL01_F.mp4,좌회전 맞다
33,NIA_SL_SEN1656_REAL01_F.mp4,병원 저기 다음 곳
34,NIA_SL_SEN0040_REAL01_F.mp4,택시 기본 만원
35,NIA_SL_SEN1341_REAL01_F.mp4,3 가다 원하다 길 무엇
37,NIA_SL_SEN0904_REAL01_F.mp4,에어컨 켜다
38,NIA_SL_SEN0890_REAL01_F.mp4,서대문농아인복지관 내리다 오케이
39,NIA_SL_SEN0577_REAL01_F.mp4,나사렛 도착
40,NIA_SL_SEN0359_REAL01_F.mp4,여기 내리다 맞다
42,NIA_SL_SEN0211_REAL01_F.mp4,약 보다 차내리다
43,NIA_SL_SEN1116_REAL01_F.mp4,엘리베이터 잘 안되다 사용 불가능
44,NIA_SL_SEN1059_REAL01_F.mp4,자판기 안되다
45,NIA_SL_SEN0028_REAL01_F.mp4,위험
47,NIA_SL_SEN0378_REAL01_F.mp4,도착 3시
48,NIA_SL_SEN1358_REAL01_F.mp4,서울대학교 목적 가다 길 가다 방법
49,NIA_SL_SEN1465_REAL01_F.mp4,터널 다음 곳
50,NIA_SL_SEN0247_REAL01_F.mp4,9호 곳곳
52,NIA_SL_SEN0700_REAL01_F.mp4,아파트 문 가다
53,NIA_SL_SEN0523_REAL01_F.mp4,학교 가다
54,NIA_SL_SEN1052_REAL01_F.mp4,계단 뼈곳
55,NIA_SL_SEN1867_REAL01_F.mp4,사진기 찾다 실종
57,NIA_SL_SEN1265_REAL01_F.mp4,맥도날드 보다 곳 저기 다음 도착 내리다
58,NIA_SL_SEN0112_REAL01_F.mp4,안되다
59,NIA_SL_SEN1470_REAL01_F.mp4,터널 다음 여기
60,NIA_SL_SEN0837_REAL01_F.mp4,시청 오케이
62,NIA_SL_SEN1764_REAL01_F.mp4,편지 저기 곳 다음 차내리다
63,NIA_SL_SEN0769_REAL01_F.mp4,건너다 차내리다 오케이
64,NIA_SL_SEN0664_REAL01_F.mp4,지름길 차내리다 가다
65,NIA_SL_SEN1418_REAL01_F.mp4,영등포 곳 찾다 길 가다 방법
67,NIA_SL_SEN1454_REAL01_F.mp4,종로 찾다 가다 곳 방법
68,NIA_SL_SEN0141_REAL01_F.mp4,택시 곳 가깝다
69,NIA_SL_SEN0912_REAL01_F.mp4,춥다 켜다
70,NIA_SL_SEN0617_REAL01_F.mp4,고속터미널 곳 가다
72,NIA_SL_SEN0724_REAL01_F.mp4,나사렛 전 도착 내리다
73,NIA_SL_SEN0042_REAL01_F.mp4,돈 얼마 맞다 확인
74,NIA_SL_SEN1169_REAL01_F.mp4,공항 버스 전 곳 보다 도착 내리다
